  2.941411E+57  2.192052E+57  2.248566E+57  4.802864E+52  4.244894E+52  4.515277E+52
 
  0.00E+00  1.00E+00  1.143021E+55  6.535258E+54  7.836849E+54  8.278000E+48  5.849247E+48  7.013733E+48
  1.00E+00  2.50E+00  6.361680E+55  4.332300E+55  5.250239E+55  1.808295E+50  1.245526E+50  1.509293E+50
  2.50E+00  4.50E+00  1.570929E+56  9.206545E+55  1.085113E+56  8.824317E+50  5.210619E+50  6.148955E+50
  4.50E+00  7.00E+00  2.456210E+56  1.324626E+56  1.404708E+56  2.258435E+51  1.224053E+51  1.301148E+51
  7.00E+00  1.00E+01  2.451997E+56  1.480061E+56  1.398238E+56  3.326817E+51  2.015950E+51  1.909964E+51
  1.00E+01  1.40E+01  1.503413E+56  1.233293E+56  1.116936E+56  2.875505E+51  2.366956E+51  2.151610E+51
  1.40E+01  1.90E+01  6.650962E+55  7.225406E+55  7.020233E+55  1.747910E+51  1.903812E+51  1.857109E+51
  1.90E+01  2.50E+01  2.410346E+55  3.080070E+55  3.475626E+55  8.444513E+50  1.080965E+51  1.224410E+51
  2.50E+01  3.20E+01  7.932977E+54  1.061543E+55  1.394783E+55  3.600487E+50  4.822858E+50  6.357699E+50
  3.20E+01  4.00E+01  2.636527E+54  3.468066E+54  4.935775E+54  1.511829E+50  1.989577E+50  2.838390E+50
  4.00E+01  4.80E+01  1.027644E+54  1.320345E+54  1.889483E+54  7.212517E+49  9.268018E+49  1.327710E+50
  4.80E+01  5.80E+01  3.940208E+53  5.021723E+53  7.579819E+53  3.329494E+49  4.243554E+49  6.408432E+49
  5.80E+01  6.80E+01  1.720763E+53  2.169899E+53  3.579298E+53  1.730550E+49  2.182254E+49  3.600037E+49
  6.80E+01  8.00E+01  7.277004E+52  9.047328E+52  1.717177E+53  8.594963E+48  1.068593E+49  2.028227E+49
  8.00E+01  9.50E+01  2.920876E+52  3.542091E+52  7.946119E+52  4.077641E+48  4.944878E+48  1.109307E+49
  9.50E+01  1.15E+02  1.068174E+52  1.244926E+52  3.400775E+52  1.787929E+48  2.083779E+48  5.692280E+48
  1.15E+02  1.45E+02  3.294796E+51  3.601328E+51  1.247547E+52  6.812981E+47  7.446828E+47  2.579678E+48
  1.45E+02  1.85E+02  9.410535E+50  9.509004E+50  4.344590E+51  2.468196E+47  2.494023E+47  1.139500E+48
  1.85E+02  2.35E+02  2.640137E+50  2.372872E+50  1.478620E+51  8.815377E+46  7.922982E+46  4.937091E+47
  2.35E+02  3.00E+02  6.688865E+49  5.222630E+49  4.690441E+50  2.844051E+46  2.220620E+46  1.994337E+47
